dataset,dataset_size,avg_time,fix
with groups,1000,0.02742227019953134,after
with groups,26000,0.6414738061001117,after
with groups,51000,1.2627045032997557,after
with groups,76000,1.4161488243000349,after
with groups,101000,1.8830160520999926,after
without groups,1000,0.016164852200017777,after
without groups,26000,0.44788684740015017,after
without groups,51000,0.8916782090003835,after
without groups,76000,0.8949038291997568,after
without groups,101000,1.2103442800998891,after
with repetitions,1000,0.011745404199609765,after
with repetitions,26000,0.23144508889999998,after
with repetitions,51000,0.45553612270014127,after
with repetitions,76000,0.6758665343004395,after
with repetitions,101000,0.9002979255001264,after
