dataset,dataset_size,avg_time,fix
with groups,1000,0.009665765099907731,before
with groups,26000,2.6982281268000405,before
with groups,51000,10.074587120900015,before
with groups,76000,22.507564039800037,before
with groups,101000,39.57481419280002,before
without groups,1000,0.015162680200137401,before
without groups,26000,7.551674068899956,before
without groups,51000,29.086981046599885,before
without groups,76000,64.84330105259987,before
without groups,101000,114.56754234869996,before
with repetitions,1000,0.0029607012000269608,before
with repetitions,26000,0.12950767599995744,before
with repetitions,51000,0.40879635609999243,before
with repetitions,76000,0.8351199145000464,before
with repetitions,101000,1.3818230973000027,before
