hash;author;date;extension;additions;deletions
d711892cbac5c522852df5029a9c091924baedbd;Valentin Dovidaytis;Fri Dec 13 18:48:41 2024 +0100;kts;1;1
d711892cbac5c522852df5029a9c091924baedbd;Valentin Dovidaytis;Fri Dec 13 18:48:41 2024 +0100;py;1;1
dfbd0ca13d1717fbe8f6ab187367efae5c8a2244;Valentin Dovidaytis;Fri Dec 13 18:47:00 2024 +0100;md;30;24
dfbd0ca13d1717fbe8f6ab187367efae5c8a2244;Valentin Dovidaytis;Fri Dec 13 18:47:00 2024 +0100;js;1;1
dfbd0ca13d1717fbe8f6ab187367efae5c8a2244;Valentin Dovidaytis;Fri Dec 13 18:47:00 2024 +0100;kts;1;1
dfbd0ca13d1717fbe8f6ab187367efae5c8a2244;Valentin Dovidaytis;Fri Dec 13 18:47:00 2024 +0100;py;1;1
5c2f17845b72c07235558ba4b5e680550308d175;Ivan Kupriyanov;Fri Dec 13 15:13:06 2024 +0100;kt;50;27
93c796585d811bef32704c41d797861ed1790eeb;Ivan Kupriyanov;Fri Dec 13 12:00:44 2024 +0100;kt;46;11
edd5b507e693b0f93e37d4ca2d341fe4a9a0d366;Ivan Kupriyanov;Thu Dec 12 19:42:41 2024 +0100;py;78;78
d104e56e3b6c9b51f43d412c068f23e39d11c93d;Ivan Kupriyanov;Thu Dec 12 17:56:58 2024 +0100;kt;7;4
7d80bda05cf15e349f477af82a345028c1e1a859;Ivan Kupriyanov;Thu Dec 12 11:03:55 2024 +0100;kt;80;18
7d80bda05cf15e349f477af82a345028c1e1a859;Ivan Kupriyanov;Thu Dec 12 11:03:55 2024 +0100;md;3;0
8f5d6382d8b27f3607287e2c7eb35d00d3428dfd;Ivan Kupriyanov;Wed Dec 11 20:23:19 2024 +0100;kt;39;23
875e0c02272575ed019e4efbdb33c3db75909f69;Ivan Kupriyanov;Mon Dec 9 20:48:44 2024 +0100;kt;55;4
875e0c02272575ed019e4efbdb33c3db75909f69;Ivan Kupriyanov;Mon Dec 9 20:48:44 2024 +0100;py;33;5
5caf4fb9a04d4afcbd837169fa082d4fbb74fb95;Ivan Kupriyanov;Mon Dec 9 16:15:44 2024 +0100;kt;54;16
5caf4fb9a04d4afcbd837169fa082d4fbb74fb95;Ivan Kupriyanov;Mon Dec 9 16:15:44 2024 +0100;md;1;0
4ac0d7972b41a728c1b0f558f9279942f2ae5231;Igor Alshannikov;Fri Dec 6 19:18:36 2024 -0500;md;0;1
b3c91f1ad3ac63ea755d375da9ad73da7710a4d9;Ivan Kupriyanov;Fri Dec 6 17:13:09 2024 +0100;kt;5;14
e7422a4abdb30619b2a4336aa3f4606fe40eb4df;Ivan Kupriyanov;Fri Dec 6 12:02:57 2024 +0100;kt;110;53
