lat,lon,air
90.0,0.0,-20.349998
90.0,2.5,-20.349998
90.0,5.0,-20.349998
90.0,7.5,-20.349998
90.0,10.0,-20.349998
90.0,12.5,-20.349998
90.0,15.0,-20.349998
90.0,17.5,-20.349998
90.0,20.0,-20.349998
90.0,22.5,-20.349998
90.0,25.0,-20.349998
90.0,27.5,-20.349998
90.0,30.0,-20.349998
90.0,32.5,-20.349998
90.0,35.0,-20.349998
90.0,37.5,-20.349998
90.0,40.0,-20.349998
90.0,42.5,-20.349998
90.0,45.0,-20.349998
90.0,47.5,-20.349998
90.0,50.0,-20.349998
90.0,52.5,-20.349998
90.0,55.0,-20.349998
90.0,57.5,-20.349998
90.0,60.0,-20.349998
90.0,62.5,-20.349998
90.0,65.0,-20.349998
90.0,67.5,-20.349998
90.0,70.0,-20.349998
90.0,72.5,-20.349998
90.0,75.0,-20.349998
90.0,77.5,-20.349998
90.0,80.0,-20.349998
90.0,82.5,-20.349998
90.0,85.0,-20.349998
90.0,87.5,-20.349998
90.0,90.0,-20.349998
90.0,92.5,-20.349998
90.0,95.0,-20.349998
90.0,97.5,-20.349998
90.0,100.0,-20.349998
90.0,102.5,-20.349998
90.0,105.0,-20.349998
90.0,107.5,-20.349998
90.0,110.0,-20.349998
90.0,112.5,-20.349998
90.0,115.0,-20.349998
90.0,117.5,-20.349998
90.0,120.0,-20.349998
90.0,122.5,-20.349998
90.0,125.0,-20.349998
90.0,127.5,-20.349998
90.0,130.0,-20.349998
90.0,132.5,-20.349998
90.0,135.0,-20.349998
90.0,137.5,-20.349998
90.0,140.0,-20.349998
90.0,142.5,-20.349998
90.0,145.0,-20.349998
90.0,147.5,-20.349998
90.0,150.0,-20.349998
90.0,152.5,-20.349998
90.0,155.0,-20.349998
90.0,157.5,-20.349998
90.0,160.0,-20.349998
90.0,162.5,-20.349998
90.0,165.0,-20.349998
90.0,167.5,-20.349998
90.0,170.0,-20.349998
90.0,172.5,-20.349998
90.0,175.0,-20.349998
90.0,177.5,-20.349998
90.0,180.0,-20.349998
90.0,182.5,-20.349998
90.0,185.0,-20.349998
90.0,187.5,-20.349998
90.0,190.0,-20.349998
90.0,192.5,-20.349998
90.0,195.0,-20.349998
90.0,197.5,-20.349998
90.0,200.0,-20.349998
90.0,202.5,-20.349998
90.0,205.0,-20.349998
90.0,207.5,-20.349998
90.0,210.0,-20.349998
90.0,212.5,-20.349998
90.0,215.0,-20.349998
90.0,217.5,-20.349998
90.0,220.0,-20.349998
90.0,222.5,-20.349998
90.0,225.0,-20.349998
90.0,227.5,-20.349998
90.0,230.0,-20.349998
90.0,232.5,-20.349998
90.0,235.0,-20.349998
90.0,237.5,-20.349998
90.0,240.0,-20.349998
90.0,242.5,-20.349998
90.0,245.0,-20.349998
90.0,247.5,-20.349998
90.0,250.0,-20.349998
90.0,252.5,-20.349998
90.0,255.0,-20.349998
90.0,257.5,-20.349998
90.0,260.0,-20.349998
90.0,262.5,-20.349998
90.0,265.0,-20.349998
90.0,267.5,-20.349998
90.0,270.0,-20.349998
90.0,272.5,-20.349998
90.0,275.0,-20.349998
90.0,277.5,-20.349998
90.0,280.0,-20.349998
90.0,282.5,-20.349998
90.0,285.0,-20.349998
90.0,287.5,-20.349998
90.0,290.0,-20.349998
90.0,292.5,-20.349998
90.0,295.0,-20.349998
90.0,297.5,-20.349998
90.0,300.0,-20.349998
90.0,302.5,-20.349998
90.0,305.0,-20.349998
90.0,307.5,-20.349998
90.0,310.0,-20.349998
90.0,312.5,-20.349998
90.0,315.0,-20.349998
90.0,317.5,-20.349998
90.0,320.0,-20.349998
90.0,322.5,-20.349998
90.0,325.0,-20.349998
90.0,327.5,-20.349998
90.0,330.0,-20.349998
90.0,332.5,-20.349998
90.0,335.0,-20.349998
90.0,337.5,-20.349998
90.0,340.0,-20.349998
90.0,342.5,-20.349998
90.0,345.0,-20.349998
90.0,347.5,-20.349998
90.0,350.0,-20.349998
90.0,352.5,-20.349998
90.0,355.0,-20.349998
90.0,357.5,-20.349998
87.5,0.0,-19.96
87.5,2.5,-20.010002
87.5,5.0,-20.079994
87.5,7.5,-20.139992
87.5,10.0,-20.19999
87.5,12.5,-20.269997
87.5,15.0,-20.329994
87.5,17.5,-20.389992
87.5,20.0,-20.469994
87.5,22.5,-20.529991
87.5,25.0,-20.589989
87.5,27.5,-20.659996
87.5,30.0,-20.719994
87.5,32.5,-20.79
87.5,35.0,-20.849998
87.5,37.5,-20.900002
87.5,40.0,-20.96
87.5,42.5,-21.010002
87.5,45.0,-21.05999
87.5,47.5,-21.109993
87.5,50.0,-21.150002
87.5,52.5,-21.189995
87.5,55.0,-21.219994
87.5,57.5,-21.260002
87.5,60.0,-21.279991
87.5,62.5,-21.30999
87.5,65.0,-21.339989
87.5,67.5,-21.359993
87.5,70.0,-21.370003
87.5,72.5,-21.389992
87.5,75.0,-21.409996
87.5,77.5,-21.409996
87.5,80.0,-21.43
87.5,82.5,-21.43
87.5,85.0,-21.439995
87.5,87.5,-21.43
87.5,90.0,-21.439995
87.5,92.5,-21.439995
87.5,95.0,-21.439995
87.5,97.5,-21.43
87.5,100.0,-21.43
87.5,102.5,-21.43
87.5,105.0,-21.41999
87.5,107.5,-21.41999
87.5,110.0,-21.409996
87.5,112.5,-21.409996
87.5,115.0,-21.409996
87.5,117.5,-21.400002
87.5,120.0,-21.400002
87.5,122.5,-21.389992
87.5,125.0,-21.389992
87.5,127.5,-21.379997
87.5,130.0,-21.389992
87.5,132.5,-21.379997
87.5,135.0,-21.379997
87.5,137.5,-21.379997
87.5,140.0,-21.379997
87.5,142.5,-21.379997
87.5,145.0,-21.370003
87.5,147.5,-21.370003
87.5,150.0,-21.379997
87.5,152.5,-21.379997
87.5,155.0,-21.370003
87.5,157.5,-21.370003
87.5,160.0,-21.359993
87.5,162.5,-21.359993
87.5,165.0,-21.359993
87.5,167.5,-21.349998
87.5,170.0,-21.349998
87.5,172.5,-21.349998
87.5,175.0,-21.329994
87.5,177.5,-21.329994
87.5,180.0,-21.32
87.5,182.5,-21.30999
87.5,185.0,-21.29
87.5,187.5,-21.279991
87.5,190.0,-21.260002
87.5,192.5,-21.239998
87.5,195.0,-21.21
