lat,lon,slp
90.0,0.0,1022.19806
90.0,2.5,1022.19806
90.0,5.0,1022.19806
90.0,7.5,1022.19806
90.0,10.0,1022.19806
90.0,12.5,1022.19806
90.0,15.0,1022.19806
90.0,17.5,1022.19806
90.0,20.0,1022.19806
90.0,22.5,1022.19806
90.0,25.0,1022.19806
90.0,27.5,1022.19806
90.0,30.0,1022.19806
90.0,32.5,1022.19806
90.0,35.0,1022.19806
90.0,37.5,1022.19806
90.0,40.0,1022.19806
90.0,42.5,1022.19806
90.0,45.0,1022.19806
90.0,47.5,1022.19806
90.0,50.0,1022.19806
90.0,52.5,1022.19806
90.0,55.0,1022.19806
90.0,57.5,1022.19806
90.0,60.0,1022.19806
90.0,62.5,1022.19806
90.0,65.0,1022.19806
90.0,67.5,1022.19806
90.0,70.0,1022.19806
90.0,72.5,1022.19806
90.0,75.0,1022.19806
90.0,77.5,1022.19806
90.0,80.0,1022.19806
90.0,82.5,1022.19806
90.0,85.0,1022.19806
90.0,87.5,1022.19806
90.0,90.0,1022.19806
90.0,92.5,1022.19806
90.0,95.0,1022.19806
90.0,97.5,1022.19806
90.0,100.0,1022.19806
90.0,102.5,1022.19806
90.0,105.0,1022.19806
90.0,107.5,1022.19806
90.0,110.0,1022.19806
90.0,112.5,1022.19806
90.0,115.0,1022.19806
90.0,117.5,1022.19806
90.0,120.0,1022.19806
90.0,122.5,1022.19806
90.0,125.0,1022.19806
90.0,127.5,1022.19806
90.0,130.0,1022.19806
90.0,132.5,1022.19806
90.0,135.0,1022.19806
90.0,137.5,1022.19806
90.0,140.0,1022.19806
90.0,142.5,1022.19806
90.0,145.0,1022.19806
90.0,147.5,1022.19806
90.0,150.0,1022.19806
90.0,152.5,1022.19806
90.0,155.0,1022.19806
90.0,157.5,1022.19806
90.0,160.0,1022.19806
90.0,162.5,1022.19806
90.0,165.0,1022.19806
90.0,167.5,1022.19806
90.0,170.0,1022.19806
90.0,172.5,1022.19806
90.0,175.0,1022.19806
90.0,177.5,1022.19806
90.0,180.0,1022.19806
90.0,182.5,1022.19806
90.0,185.0,1022.19806
90.0,187.5,1022.19806
90.0,190.0,1022.19806
90.0,192.5,1022.19806
90.0,195.0,1022.19806
90.0,197.5,1022.19806
90.0,200.0,1022.19806
90.0,202.5,1022.19806
90.0,205.0,1022.19806
90.0,207.5,1022.19806
90.0,210.0,1022.19806
90.0,212.5,1022.19806
90.0,215.0,1022.19806
90.0,217.5,1022.19806
90.0,220.0,1022.19806
90.0,222.5,1022.19806
90.0,225.0,1022.19806
90.0,227.5,1022.19806
90.0,230.0,1022.19806
90.0,232.5,1022.19806
90.0,235.0,1022.19806
90.0,237.5,1022.19806
90.0,240.0,1022.19806
90.0,242.5,1022.19806
90.0,245.0,1022.19806
90.0,247.5,1022.19806
90.0,250.0,1022.19806
90.0,252.5,1022.19806
90.0,255.0,1022.19806
90.0,257.5,1022.19806
90.0,260.0,1022.19806
90.0,262.5,1022.19806
90.0,265.0,1022.19806
90.0,267.5,1022.19806
90.0,270.0,1022.19806
90.0,272.5,1022.19806
90.0,275.0,1022.19806
90.0,277.5,1022.19806
90.0,280.0,1022.19806
90.0,282.5,1022.19806
90.0,285.0,1022.19806
90.0,287.5,1022.19806
90.0,290.0,1022.19806
90.0,292.5,1022.19806
90.0,295.0,1022.19806
90.0,297.5,1022.19806
90.0,300.0,1022.19806
90.0,302.5,1022.19806
90.0,305.0,1022.19806
90.0,307.5,1022.19806
90.0,310.0,1022.19806
90.0,312.5,1022.19806
90.0,315.0,1022.19806
90.0,317.5,1022.19806
90.0,320.0,1022.19806
90.0,322.5,1022.19806
90.0,325.0,1022.19806
90.0,327.5,1022.19806
90.0,330.0,1022.19806
90.0,332.5,1022.19806
90.0,335.0,1022.19806
90.0,337.5,1022.19806
90.0,340.0,1022.19806
90.0,342.5,1022.19806
90.0,345.0,1022.19806
90.0,347.5,1022.19806
90.0,350.0,1022.19806
90.0,352.5,1022.19806
90.0,355.0,1022.19806
90.0,357.5,1022.19806
87.5,0.0,1019.9277
87.5,2.5,1019.98895
87.5,5.0,1020.0475
87.5,7.5,1020.1117
87.5,10.0,1020.1731
87.5,12.5,1020.2343
87.5,15.0,1020.2958
87.5,17.5,1020.3555
87.5,20.0,1020.4142
87.5,22.5,1020.47095
87.5,25.0,1020.53516
87.5,27.5,1020.5893
87.5,30.0,1020.648
87.5,32.5,1020.7055
87.5,35.0,1020.7606
87.5,37.5,1020.81995
87.5,40.0,1020.879
87.5,42.5,1020.9293
87.5,45.0,1020.9896
87.5,47.5,1021.05054
87.5,50.0,1021.11145
87.5,52.5,1021.17175
87.5,55.0,1021.23303
87.5,57.5,1021.2964
87.5,60.0,1021.3684
87.5,62.5,1021.4337
87.5,65.0,1021.5093
87.5,67.5,1021.5822
87.5,70.0,1021.6591
87.5,72.5,1021.7323
87.5,75.0,1021.82135
87.5,77.5,1021.9013
87.5,80.0,1021.9884
87.5,82.5,1022.08093
87.5,85.0,1022.1714
87.5,87.5,1022.2661
87.5,90.0,1022.35925
87.5,92.5,1022.4651
87.5,95.0,1022.56213
87.5,97.5,1022.66327
87.5,100.0,1022.76575
87.5,102.5,1022.87024
87.5,105.0,1022.9794
87.5,107.5,1023.08435
87.5,110.0,1023.1926
87.5,112.5,1023.3031
87.5,115.0,1023.4119
87.5,117.5,1023.5132
87.5,120.0,1023.62195
87.5,122.5,1023.73114
87.5,125.0,1023.8384
87.5,127.5,1023.93427
87.5,130.0,1024.0433
87.5,132.5,1024.1384
87.5,135.0,1024.2406
87.5,137.5,1024.3358
87.5,140.0,1024.4293
87.5,142.5,1024.5226
87.5,145.0,1024.6062
87.5,147.5,1024.6917
87.5,150.0,1024.7716
87.5,152.5,1024.8503
87.5,155.0,1024.9204
87.5,157.5,1024.985
87.5,160.0,1025.0459
87.5,162.5,1025.1051
87.5,165.0,1025.1554
87.5,167.5,1025.2025
87.5,170.0,1025.2406
87.5,172.5,1025.2738
87.5,175.0,1025.2992
87.5,177.5,1025.3252
87.5,180.0,1025.3352
87.5,182.5,1025.3414
87.5,185.0,1025.3455
87.5,187.5,1025.3362
87.5,190.0,1025.3186
87.5,192.5,1025.3016
87.5,195.0,1025.2698
87.5,197.5,1025.237
87.5,200.0,1025.1975
87.5,202.5,1025.1389
87.5,205.0,1025.0833
87.5,207.5,1025.0245
87.5,210.0,1024.9526
87.5,212.5,1024.8755
87.5,215.0,1024.7906
87.5,217.5,1024.6968
87.5,220.0,1024.6058
87.5,222.5,1024.5088
87.5,225.0,1024.4071
87.5,227.5,1024.2959
87.5,230.0,1024.1887
87.5,232.5,1024.0752
87.5,235.0,1023.96136
87.5,237.5,1023.846
87.5,240.0,1023.7275
87.5,242.5,1023.6064
87.5,245.0,1023.4935
87.5,247.5,1023.3691
87.5,250.0,1023.24585
87.5,252.5,1023.1329
87.5,255.0,1023.0073
87.5,257.5,1022.8813
