char_id,char,alphabet,font_face,font_size,font_version,width
65,A,basic_latin,Courier,9,,9
66,B,basic_latin,Courier,9,,9
67,C,basic_latin,Courier,9,,9
68,D,basic_latin,Courier,9,,9
69,E,basic_latin,Courier,9,,9
70,F,basic_latin,Courier,9,,9
71,G,basic_latin,Courier,9,,9
72,H,basic_latin,Courier,9,,9
73,I,basic_latin,Courier,9,,9
74,J,basic_latin,Courier,9,,9
75,K,basic_latin,Courier,9,,9
76,L,basic_latin,Courier,9,,9
77,M,basic_latin,Courier,9,,9
78,N,basic_latin,Courier,9,,9
79,O,basic_latin,Courier,9,,9
80,P,basic_latin,Courier,9,,9
81,Q,basic_latin,Courier,9,,9
82,R,basic_latin,Courier,9,,9
83,S,basic_latin,Courier,9,,9
84,T,basic_latin,Courier,9,,9
85,U,basic_latin,Courier,9,,9
86,V,basic_latin,Courier,9,,9
87,W,basic_latin,Courier,9,,9
88,X,basic_latin,Courier,9,,9
89,Y,basic_latin,Courier,9,,9
90,Z,basic_latin,Courier,9,,9
97,a,basic_latin,Courier,9,,9
98,b,basic_latin,Courier,9,,9
99,c,basic_latin,Courier,9,,9
100,d,basic_latin,Courier,9,,9
101,e,basic_latin,Courier,9,,9
102,f,basic_latin,Courier,9,,9
103,g,basic_latin,Courier,9,,9
104,h,basic_latin,Courier,9,,9
105,i,basic_latin,Courier,9,,9
106,j,basic_latin,Courier,9,,9
107,k,basic_latin,Courier,9,,9
108,l,basic_latin,Courier,9,,9
109,m,basic_latin,Courier,9,,9
110,n,basic_latin,Courier,9,,9
111,o,basic_latin,Courier,9,,9
112,p,basic_latin,Courier,9,,9
113,q,basic_latin,Courier,9,,9
114,r,basic_latin,Courier,9,,9
115,s,basic_latin,Courier,9,,9
116,t,basic_latin,Courier,9,,9
117,u,basic_latin,Courier,9,,9
118,v,basic_latin,Courier,9,,9
119,w,basic_latin,Courier,9,,9
120,x,basic_latin,Courier,9,,9
121,y,basic_latin,Courier,9,,9
122,z,basic_latin,Courier,9,,9
