char,font_face,font_size,font_version,width
 ,Courier,9,,9
!,Courier,9,,9
"""",Courier,9,,9
#,Courier,9,,9
$,Courier,9,,9
%,Courier,9,,9
&,Courier,9,,9
',Courier,9,,9
(,Courier,9,,9
),Courier,9,,9
*,Courier,9,,9
+,Courier,9,,9
",",Courier,9,,9
-,Courier,9,,9
.,Courier,9,,9
/,Courier,9,,9
0,Courier,9,,9
1,Courier,9,,9
2,Courier,9,,9
3,Courier,9,,9
4,Courier,9,,9
5,Courier,9,,9
6,Courier,9,,9
7,Courier,9,,9
8,Courier,9,,9
9,Courier,9,,9
:,Courier,9,,9
;,Courier,9,,9
<,Courier,9,,9
=,Courier,9,,9
>,Courier,9,,9
?,Courier,9,,9
@,Courier,9,,9
A,Courier,9,,9
B,Courier,9,,9
C,Courier,9,,9
D,Courier,9,,9
E,Courier,9,,9
F,Courier,9,,9
G,Courier,9,,9
H,Courier,9,,9
I,Courier,9,,9
J,Courier,9,,9
K,Courier,9,,9
L,Courier,9,,9
M,Courier,9,,9
N,Courier,9,,9
O,Courier,9,,9
P,Courier,9,,9
Q,Courier,9,,9
R,Courier,9,,9
S,Courier,9,,9
T,Courier,9,,9
U,Courier,9,,9
V,Courier,9,,9
W,Courier,9,,9
X,Courier,9,,9
Y,Courier,9,,9
Z,Courier,9,,9
[,Courier,9,,9
\,Courier,9,,9
],Courier,9,,9
^,Courier,9,,9
_,Courier,9,,9
`,Courier,9,,9
a,Courier,9,,9
b,Courier,9,,9
c,Courier,9,,9
d,Courier,9,,9
e,Courier,9,,9
f,Courier,9,,9
g,Courier,9,,9
h,Courier,9,,9
i,Courier,9,,9
j,Courier,9,,9
k,Courier,9,,9
l,Courier,9,,9
m,Courier,9,,9
n,Courier,9,,9
o,Courier,9,,9
p,Courier,9,,9
q,Courier,9,,9
r,Courier,9,,9
s,Courier,9,,9
t,Courier,9,,9
u,Courier,9,,9
v,Courier,9,,9
w,Courier,9,,9
x,Courier,9,,9
y,Courier,9,,9
z,Courier,9,,9
{,Courier,9,,9
|,Courier,9,,9
},Courier,9,,9
~,Courier,9,,9
 ,Courier,9,b,10
!,Courier,9,b,10
"""",Courier,9,b,10
#,Courier,9,b,10
$,Courier,9,b,10
%,Courier,9,b,10
&,Courier,9,b,10
',Courier,9,b,10
(,Courier,9,b,10
),Courier,9,b,10
*,Courier,9,b,10
+,Courier,9,b,10
",",Courier,9,b,10
-,Courier,9,b,10
.,Courier,9,b,10
/,Courier,9,b,10
0,Courier,9,b,10
1,Courier,9,b,10
2,Courier,9,b,10
3,Courier,9,b,10
4,Courier,9,b,10
5,Courier,9,b,10
6,Courier,9,b,10
7,Courier,9,b,10
8,Courier,9,b,10
9,Courier,9,b,10
:,Courier,9,b,10
;,Courier,9,b,10
<,Courier,9,b,10
=,Courier,9,b,10
>,Courier,9,b,10
?,Courier,9,b,10
@,Courier,9,b,10
A,Courier,9,b,10
B,Courier,9,b,10
C,Courier,9,b,10
D,Courier,9,b,10
E,Courier,9,b,10
F,Courier,9,b,10
G,Courier,9,b,10
H,Courier,9,b,10
I,Courier,9,b,10
J,Courier,9,b,10
K,Courier,9,b,10
L,Courier,9,b,10
M,Courier,9,b,10
N,Courier,9,b,10
O,Courier,9,b,10
P,Courier,9,b,10
Q,Courier,9,b,10
R,Courier,9,b,10
S,Courier,9,b,10
T,Courier,9,b,10
U,Courier,9,b,10
V,Courier,9,b,10
W,Courier,9,b,10
X,Courier,9,b,10
Y,Courier,9,b,10
Z,Courier,9,b,10
[,Courier,9,b,10
\,Courier,9,b,10
],Courier,9,b,10
^,Courier,9,b,10
_,Courier,9,b,10
`,Courier,9,b,10
a,Courier,9,b,10
b,Courier,9,b,10
c,Courier,9,b,10
d,Courier,9,b,10
e,Courier,9,b,10
f,Courier,9,b,10
g,Courier,9,b,10
h,Courier,9,b,10
i,Courier,9,b,10
j,Courier,9,b,10
k,Courier,9,b,10
l,Courier,9,b,10
m,Courier,9,b,10
n,Courier,9,b,10
o,Courier,9,b,10
p,Courier,9,b,10
q,Courier,9,b,10
r,Courier,9,b,10
s,Courier,9,b,10
t,Courier,9,b,10
u,Courier,9,b,10
v,Courier,9,b,10
w,Courier,9,b,10
x,Courier,9,b,10
y,Courier,9,b,10
z,Courier,9,b,10
{,Courier,9,b,10
|,Courier,9,b,10
},Courier,9,b,10
~,Courier,9,b,10
 ,Courier,9,i,9
!,Courier,9,i,9
"""",Courier,9,i,9
#,Courier,9,i,9
$,Courier,9,i,9
%,Courier,9,i,9
&,Courier,9,i,9
',Courier,9,i,9
(,Courier,9,i,9
),Courier,9,i,9
*,Courier,9,i,9
+,Courier,9,i,9
",",Courier,9,i,9
-,Courier,9,i,9
.,Courier,9,i,9
/,Courier,9,i,9
0,Courier,9,i,9
1,Courier,9,i,9
2,Courier,9,i,9
3,Courier,9,i,9
4,Courier,9,i,9
5,Courier,9,i,9
6,Courier,9,i,9
7,Courier,9,i,9
8,Courier,9,i,9
9,Courier,9,i,9
:,Courier,9,i,9
;,Courier,9,i,9
<,Courier,9,i,9
=,Courier,9,i,9
>,Courier,9,i,9
?,Courier,9,i,9
@,Courier,9,i,9
A,Courier,9,i,9
B,Courier,9,i,9
C,Courier,9,i,9
D,Courier,9,i,9
E,Courier,9,i,9
F,Courier,9,i,9
G,Courier,9,i,9
H,Courier,9,i,9
I,Courier,9,i,9
J,Courier,9,i,9
K,Courier,9,i,9
L,Courier,9,i,9
M,Courier,9,i,9
N,Courier,9,i,9
O,Courier,9,i,9
P,Courier,9,i,9
Q,Courier,9,i,9
R,Courier,9,i,9
S,Courier,9,i,9
T,Courier,9,i,9
U,Courier,9,i,9
V,Courier,9,i,9
W,Courier,9,i,9
X,Courier,9,i,9
Y,Courier,9,i,9
Z,Courier,9,i,9
[,Courier,9,i,9
\,Courier,9,i,9
],Courier,9,i,9
^,Courier,9,i,9
_,Courier,9,i,9
`,Courier,9,i,9
a,Courier,9,i,9
b,Courier,9,i,9
c,Courier,9,i,9
d,Courier,9,i,9
e,Courier,9,i,9
f,Courier,9,i,9
g,Courier,9,i,9
h,Courier,9,i,9
i,Courier,9,i,9
j,Courier,9,i,9
k,Courier,9,i,9
l,Courier,9,i,9
m,Courier,9,i,9
n,Courier,9,i,9
o,Courier,9,i,9
p,Courier,9,i,9
q,Courier,9,i,9
r,Courier,9,i,9
s,Courier,9,i,9
t,Courier,9,i,9
u,Courier,9,i,9
v,Courier,9,i,9
w,Courier,9,i,9
x,Courier,9,i,9
y,Courier,9,i,9
z,Courier,9,i,9
{,Courier,9,i,9
|,Courier,9,i,9
},Courier,9,i,9
~,Courier,9,i,9
 ,Courier,9,bi,10
!,Courier,9,bi,10
"""",Courier,9,bi,10
#,Courier,9,bi,10
$,Courier,9,bi,10
%,Courier,9,bi,10
&,Courier,9,bi,10
',Courier,9,bi,10
(,Courier,9,bi,10
),Courier,9,bi,10
*,Courier,9,bi,10
+,Courier,9,bi,10
",",Courier,9,bi,10
-,Courier,9,bi,10
.,Courier,9,bi,10
/,Courier,9,bi,10
0,Courier,9,bi,10
1,Courier,9,bi,10
2,Courier,9,bi,10
3,Courier,9,bi,10
4,Courier,9,bi,10
5,Courier,9,bi,10
6,Courier,9,bi,10
7,Courier,9,bi,10
8,Courier,9,bi,10
9,Courier,9,bi,10
:,Courier,9,bi,10
;,Courier,9,bi,10
<,Courier,9,bi,10
=,Courier,9,bi,10
>,Courier,9,bi,10
?,Courier,9,bi,10
@,Courier,9,bi,10
A,Courier,9,bi,10
B,Courier,9,bi,10
C,Courier,9,bi,10
D,Courier,9,bi,10
E,Courier,9,bi,10
F,Courier,9,bi,10
G,Courier,9,bi,10
H,Courier,9,bi,10
I,Courier,9,bi,10
J,Courier,9,bi,10
K,Courier,9,bi,10
L,Courier,9,bi,10
M,Courier,9,bi,10
N,Courier,9,bi,10
O,Courier,9,bi,10
P,Courier,9,bi,10
Q,Courier,9,bi,10
R,Courier,9,bi,10
S,Courier,9,bi,10
T,Courier,9,bi,10
U,Courier,9,bi,10
V,Courier,9,bi,10
W,Courier,9,bi,10
X,Courier,9,bi,10
Y,Courier,9,bi,10
Z,Courier,9,bi,10
[,Courier,9,bi,10
\,Courier,9,bi,10
],Courier,9,bi,10
^,Courier,9,bi,10
_,Courier,9,bi,10
`,Courier,9,bi,10
a,Courier,9,bi,10
b,Courier,9,bi,10
c,Courier,9,bi,10
d,Courier,9,bi,10
e,Courier,9,bi,10
f,Courier,9,bi,10
g,Courier,9,bi,10
h,Courier,9,bi,10
i,Courier,9,bi,10
j,Courier,9,bi,10
k,Courier,9,bi,10
l,Courier,9,bi,10
m,Courier,9,bi,10
n,Courier,9,bi,10
o,Courier,9,bi,10
p,Courier,9,bi,10
q,Courier,9,bi,10
r,Courier,9,bi,10
s,Courier,9,bi,10
t,Courier,9,bi,10
u,Courier,9,bi,10
v,Courier,9,bi,10
w,Courier,9,bi,10
x,Courier,9,bi,10
y,Courier,9,bi,10
z,Courier,9,bi,10
{,Courier,9,bi,10
|,Courier,9,bi,10
},Courier,9,bi,10
~,Courier,9,bi,10
 ,Courier,11,,12
!,Courier,11,,12
"""",Courier,11,,12
#,Courier,11,,12
$,Courier,11,,12
%,Courier,11,,12
&,Courier,11,,12
',Courier,11,,12
(,Courier,11,,12
),Courier,11,,12
*,Courier,11,,12
+,Courier,11,,12
",",Courier,11,,12
-,Courier,11,,12
.,Courier,11,,12
/,Courier,11,,12
0,Courier,11,,12
1,Courier,11,,12
2,Courier,11,,12
3,Courier,11,,12
4,Courier,11,,12
5,Courier,11,,12
6,Courier,11,,12
7,Courier,11,,12
8,Courier,11,,12
9,Courier,11,,12
:,Courier,11,,12
;,Courier,11,,12
<,Courier,11,,12
=,Courier,11,,12
>,Courier,11,,12
?,Courier,11,,12
@,Courier,11,,12
A,Courier,11,,12
B,Courier,11,,12
C,Courier,11,,12
D,Courier,11,,12
E,Courier,11,,12
F,Courier,11,,12
G,Courier,11,,12
H,Courier,11,,12
I,Courier,11,,12
J,Courier,11,,12
K,Courier,11,,12
L,Courier,11,,12
M,Courier,11,,12
N,Courier,11,,12
O,Courier,11,,12
P,Courier,11,,12
Q,Courier,11,,12
R,Courier,11,,12
S,Courier,11,,12
T,Courier,11,,12
U,Courier,11,,12
V,Courier,11,,12
W,Courier,11,,12
X,Courier,11,,12
Y,Courier,11,,12
Z,Courier,11,,12
[,Courier,11,,12
\,Courier,11,,12
],Courier,11,,12
^,Courier,11,,12
_,Courier,11,,12
`,Courier,11,,12
a,Courier,11,,12
b,Courier,11,,12
c,Courier,11,,12
d,Courier,11,,12
e,Courier,11,,12
f,Courier,11,,12
g,Courier,11,,12
h,Courier,11,,12
i,Courier,11,,12
j,Courier,11,,12
k,Courier,11,,12
l,Courier,11,,12
m,Courier,11,,12
n,Courier,11,,12
o,Courier,11,,12
p,Courier,11,,12
q,Courier,11,,12
r,Courier,11,,12
s,Courier,11,,12
t,Courier,11,,12
u,Courier,11,,12
v,Courier,11,,12
w,Courier,11,,12
x,Courier,11,,12
y,Courier,11,,12
z,Courier,11,,12
{,Courier,11,,12
|,Courier,11,,12
},Courier,11,,12
~,Courier,11,,12
 ,Courier,11,b,13
!,Courier,11,b,13
"""",Courier,11,b,13
#,Courier,11,b,13
$,Courier,11,b,13
%,Courier,11,b,13
&,Courier,11,b,13
',Courier,11,b,13
(,Courier,11,b,13
),Courier,11,b,13
*,Courier,11,b,13
+,Courier,11,b,13
",",Courier,11,b,13
-,Courier,11,b,13
.,Courier,11,b,13
/,Courier,11,b,13
0,Courier,11,b,13
1,Courier,11,b,13
2,Courier,11,b,13
3,Courier,11,b,13
4,Courier,11,b,13
5,Courier,11,b,13
6,Courier,11,b,13
7,Courier,11,b,13
8,Courier,11,b,13
9,Courier,11,b,13
:,Courier,11,b,13
;,Courier,11,b,13
<,Courier,11,b,13
=,Courier,11,b,13
>,Courier,11,b,13
?,Courier,11,b,13
@,Courier,11,b,13
A,Courier,11,b,13
B,Courier,11,b,13
