char_id,char,alphabet,font_family,font_size,font_face,width
65,A,basic_latin,Courier,9,normal,8
66,B,basic_latin,Courier,9,normal,8
67,C,basic_latin,Courier,9,normal,8
68,D,basic_latin,Courier,9,normal,8
69,E,basic_latin,Courier,9,normal,8
70,F,basic_latin,Courier,9,normal,8
71,G,basic_latin,Courier,9,normal,8
72,H,basic_latin,Courier,9,normal,8
73,I,basic_latin,Courier,9,normal,8
74,J,basic_latin,Courier,9,normal,8
75,K,basic_latin,Courier,9,normal,8
76,L,basic_latin,Courier,9,normal,8
77,M,basic_latin,Courier,9,normal,8
78,N,basic_latin,Courier,9,normal,8
79,O,basic_latin,Courier,9,normal,8
80,P,basic_latin,Courier,9,normal,8
81,Q,basic_latin,Courier,9,normal,8
82,R,basic_latin,Courier,9,normal,8
83,S,basic_latin,Courier,9,normal,8
84,T,basic_latin,Courier,9,normal,8
85,U,basic_latin,Courier,9,normal,8
86,V,basic_latin,Courier,9,normal,8
87,W,basic_latin,Courier,9,normal,8
88,X,basic_latin,Courier,9,normal,8
89,Y,basic_latin,Courier,9,normal,8
90,Z,basic_latin,Courier,9,normal,8
97,a,basic_latin,Courier,9,normal,8
98,b,basic_latin,Courier,9,normal,8
99,c,basic_latin,Courier,9,normal,8
100,d,basic_latin,Courier,9,normal,8
101,e,basic_latin,Courier,9,normal,8
102,f,basic_latin,Courier,9,normal,8
103,g,basic_latin,Courier,9,normal,8
104,h,basic_latin,Courier,9,normal,8
105,i,basic_latin,Courier,9,normal,8
106,j,basic_latin,Courier,9,normal,8
107,k,basic_latin,Courier,9,normal,8
108,l,basic_latin,Courier,9,normal,8
109,m,basic_latin,Courier,9,normal,8
110,n,basic_latin,Courier,9,normal,8
111,o,basic_latin,Courier,9,normal,8
112,p,basic_latin,Courier,9,normal,8
113,q,basic_latin,Courier,9,normal,8
114,r,basic_latin,Courier,9,normal,8
115,s,basic_latin,Courier,9,normal,8
116,t,basic_latin,Courier,9,normal,8
117,u,basic_latin,Courier,9,normal,8
118,v,basic_latin,Courier,9,normal,8
119,w,basic_latin,Courier,9,normal,8
120,x,basic_latin,Courier,9,normal,8
121,y,basic_latin,Courier,9,normal,8
122,z,basic_latin,Courier,9,normal,8
48,0,basic_latin,Courier,9,normal,8
49,1,basic_latin,Courier,9,normal,8
50,2,basic_latin,Courier,9,normal,8
51,3,basic_latin,Courier,9,normal,8
52,4,basic_latin,Courier,9,normal,8
53,5,basic_latin,Courier,9,normal,8
54,6,basic_latin,Courier,9,normal,8
55,7,basic_latin,Courier,9,normal,8
56,8,basic_latin,Courier,9,normal,8
57,9,basic_latin,Courier,9,normal,8
33,!,basic_latin,Courier,9,normal,8
34,"""",basic_latin,Courier,9,normal,8
35,#,basic_latin,Courier,9,normal,8
36,$,basic_latin,Courier,9,normal,8
37,%,basic_latin,Courier,9,normal,8
38,&,basic_latin,Courier,9,normal,8
39,',basic_latin,Courier,9,normal,8
40,(,basic_latin,Courier,9,normal,8
41,),basic_latin,Courier,9,normal,8
42,*,basic_latin,Courier,9,normal,8
43,+,basic_latin,Courier,9,normal,8
44,",",basic_latin,Courier,9,normal,8
45,-,basic_latin,Courier,9,normal,8
46,.,basic_latin,Courier,9,normal,8
47,/,basic_latin,Courier,9,normal,8
58,:,basic_latin,Courier,9,normal,8
59,;,basic_latin,Courier,9,normal,8
60,<,basic_latin,Courier,9,normal,8
61,=,basic_latin,Courier,9,normal,8
62,>,basic_latin,Courier,9,normal,8
63,?,basic_latin,Courier,9,normal,8
64,@,basic_latin,Courier,9,normal,8
91,[,basic_latin,Courier,9,normal,8
92,\,basic_latin,Courier,9,normal,8
93,],basic_latin,Courier,9,normal,8
94,^,basic_latin,Courier,9,normal,8
95,_,basic_latin,Courier,9,normal,8
96,`,basic_latin,Courier,9,normal,8
123,{,basic_latin,Courier,9,normal,8
124,|,basic_latin,Courier,9,normal,8
125,},basic_latin,Courier,9,normal,8
126,~,basic_latin,Courier,9,normal,8
32, ,basic_latin,Courier,9,normal,8
1040,А,russian,Courier,9,normal,8
1041,Б,russian,Courier,9,normal,8
1042,В,russian,Courier,9,normal,8
1043,Г,russian,Courier,9,normal,8
1044,Д,russian,Courier,9,normal,8
1045,Е,russian,Courier,9,normal,8
1046,Ж,russian,Courier,9,normal,8
1047,З,russian,Courier,9,normal,8
1048,И,russian,Courier,9,normal,8
1049,Й,russian,Courier,9,normal,8
1050,К,russian,Courier,9,normal,8
1051,Л,russian,Courier,9,normal,8
1052,М,russian,Courier,9,normal,8
1053,Н,russian,Courier,9,normal,8
1054,О,russian,Courier,9,normal,8
1055,П,russian,Courier,9,normal,8
1056,Р,russian,Courier,9,normal,8
1057,С,russian,Courier,9,normal,8
1058,Т,russian,Courier,9,normal,8
1059,У,russian,Courier,9,normal,8
1060,Ф,russian,Courier,9,normal,8
1061,Х,russian,Courier,9,normal,8
1062,Ц,russian,Courier,9,normal,8
1063,Ч,russian,Courier,9,normal,8
1064,Ш,russian,Courier,9,normal,8
1065,Щ,russian,Courier,9,normal,8
1066,Ъ,russian,Courier,9,normal,8
1067,Ы,russian,Courier,9,normal,8
1068,Ь,russian,Courier,9,normal,8
1069,Э,russian,Courier,9,normal,8
1070,Ю,russian,Courier,9,normal,8
1071,Я,russian,Courier,9,normal,8
1072,а,russian,Courier,9,normal,8
1073,б,russian,Courier,9,normal,8
1074,в,russian,Courier,9,normal,8
1075,г,russian,Courier,9,normal,8
1076,д,russian,Courier,9,normal,8
1077,е,russian,Courier,9,normal,8
1078,ж,russian,Courier,9,normal,8
1079,з,russian,Courier,9,normal,8
1080,и,russian,Courier,9,normal,8
1081,й,russian,Courier,9,normal,8
1082,к,russian,Courier,9,normal,8
1083,л,russian,Courier,9,normal,8
1084,м,russian,Courier,9,normal,8
1085,н,russian,Courier,9,normal,8
1086,о,russian,Courier,9,normal,8
1087,п,russian,Courier,9,normal,8
1088,р,russian,Courier,9,normal,8
1089,с,russian,Courier,9,normal,8
1090,т,russian,Courier,9,normal,8
1091,у,russian,Courier,9,normal,8
1092,ф,russian,Courier,9,normal,8
1093,х,russian,Courier,9,normal,8
1094,ц,russian,Courier,9,normal,8
1095,ч,russian,Courier,9,normal,8
1096,ш,russian,Courier,9,normal,8
1097,щ,russian,Courier,9,normal,8
1098,ъ,russian,Courier,9,normal,8
1099,ы,russian,Courier,9,normal,8
1100,ь,russian,Courier,9,normal,8
1101,э,russian,Courier,9,normal,8
1102,ю,russian,Courier,9,normal,8
1103,я,russian,Courier,9,normal,8
