text,width,alphabet,font_family,font_size,font_face,symbols_count,is_monospaced
Brother,56,latin,Courier,9,normal,7,True
Clearly,56,latin,Courier,9,normal,7,True
Purpose,56,latin,Courier,9,normal,7,True
Score each,80,latin,Courier,9,normal,10,True
Her need stop,104,latin,Courier,9,normal,13,True
Role movie win,112,latin,Courier,9,normal,14,True
Suggest page southern,168,latin,Courier,9,normal,21,True
Scientist nation opportunity,224,latin,Courier,9,normal,28,True
Peace technology officer relate,248,latin,Courier,9,normal,31,True
Red information last everything,248,latin,Courier,9,normal,31,True
Brother,63,latin,Courier,9,bold,7,True
Clearly,63,latin,Courier,9,bold,7,True
Purpose,63,latin,Courier,9,bold,7,True
Score each,90,latin,Courier,9,bold,10,True
Her need stop,117,latin,Courier,9,bold,13,True
Role movie win,126,latin,Courier,9,bold,14,True
Suggest page southern,189,latin,Courier,9,bold,21,True
Scientist nation opportunity,252,latin,Courier,9,bold,28,True
Peace technology officer relate,279,latin,Courier,9,bold,31,True
Red information last everything,279,latin,Courier,9,bold,31,True
Brother,62,latin,Courier,9,italic,7,True
Clearly,62,latin,Courier,9,italic,7,True
Purpose,62,latin,Courier,9,italic,7,True
Score each,86,latin,Courier,9,italic,10,True
Her need stop,110,latin,Courier,9,italic,13,True
Role movie win,118,latin,Courier,9,italic,14,True
Suggest page southern,174,latin,Courier,9,italic,21,True
Scientist nation opportunity,230,latin,Courier,9,italic,28,True
Peace technology officer relate,254,latin,Courier,9,italic,31,True
Red information last everything,254,latin,Courier,9,italic,31,True
Brother,69,latin,Courier,9,bold+italic,7,True
Clearly,69,latin,Courier,9,bold+italic,7,True
Purpose,69,latin,Courier,9,bold+italic,7,True
Score each,96,latin,Courier,9,bold+italic,10,True
Her need stop,123,latin,Courier,9,bold+italic,13,True
Role movie win,132,latin,Courier,9,bold+italic,14,True
Suggest page southern,195,latin,Courier,9,bold+italic,21,True
Scientist nation opportunity,258,latin,Courier,9,bold+italic,28,True
Peace technology officer relate,285,latin,Courier,9,bold+italic,31,True
Red information last everything,285,latin,Courier,9,bold+italic,31,True
Brother,56,latin,Courier,11,normal,7,True
Clearly,56,latin,Courier,11,normal,7,True
Purpose,56,latin,Courier,11,normal,7,True
Score each,80,latin,Courier,11,normal,10,True
Her need stop,104,latin,Courier,11,normal,13,True
Role movie win,112,latin,Courier,11,normal,14,True
Suggest page southern,168,latin,Courier,11,normal,21,True
Scientist nation opportunity,224,latin,Courier,11,normal,28,True
Peace technology officer relate,248,latin,Courier,11,normal,31,True
Red information last everything,248,latin,Courier,11,normal,31,True
Brother,63,latin,Courier,11,bold,7,True
Clearly,63,latin,Courier,11,bold,7,True
Purpose,63,latin,Courier,11,bold,7,True
Score each,90,latin,Courier,11,bold,10,True
Her need stop,117,latin,Courier,11,bold,13,True
Role movie win,126,latin,Courier,11,bold,14,True
Suggest page southern,189,latin,Courier,11,bold,21,True
Scientist nation opportunity,252,latin,Courier,11,bold,28,True
Peace technology officer relate,279,latin,Courier,11,bold,31,True
Red information last everything,279,latin,Courier,11,bold,31,True
Brother,62,latin,Courier,11,italic,7,True
Clearly,62,latin,Courier,11,italic,7,True
Purpose,62,latin,Courier,11,italic,7,True
Score each,86,latin,Courier,11,italic,10,True
Her need stop,110,latin,Courier,11,italic,13,True
Role movie win,118,latin,Courier,11,italic,14,True
Suggest page southern,174,latin,Courier,11,italic,21,True
Scientist nation opportunity,230,latin,Courier,11,italic,28,True
Peace technology officer relate,254,latin,Courier,11,italic,31,True
Red information last everything,254,latin,Courier,11,italic,31,True
Brother,69,latin,Courier,11,bold+italic,7,True
Clearly,69,latin,Courier,11,bold+italic,7,True
Purpose,69,latin,Courier,11,bold+italic,7,True
Score each,96,latin,Courier,11,bold+italic,10,True
Her need stop,123,latin,Courier,11,bold+italic,13,True
Role movie win,132,latin,Courier,11,bold+italic,14,True
Suggest page southern,195,latin,Courier,11,bold+italic,21,True
Scientist nation opportunity,258,latin,Courier,11,bold+italic,28,True
Peace technology officer relate,285,latin,Courier,11,bold+italic,31,True
Red information last everything,285,latin,Courier,11,bold+italic,31,True
Brother,63,latin,Courier,12,normal,7,True
Clearly,63,latin,Courier,12,normal,7,True
Purpose,63,latin,Courier,12,normal,7,True
Score each,90,latin,Courier,12,normal,10,True
Her need stop,117,latin,Courier,12,normal,13,True
Role movie win,126,latin,Courier,12,normal,14,True
Suggest page southern,189,latin,Courier,12,normal,21,True
Scientist nation opportunity,252,latin,Courier,12,normal,28,True
Peace technology officer relate,279,latin,Courier,12,normal,31,True
Red information last everything,279,latin,Courier,12,normal,31,True
Brother,70,latin,Courier,12,bold,7,True
Clearly,70,latin,Courier,12,bold,7,True
Purpose,70,latin,Courier,12,bold,7,True
Score each,100,latin,Courier,12,bold,10,True
Her need stop,130,latin,Courier,12,bold,13,True
Role movie win,140,latin,Courier,12,bold,14,True
Suggest page southern,210,latin,Courier,12,bold,21,True
Scientist nation opportunity,280,latin,Courier,12,bold,28,True
Peace technology officer relate,310,latin,Courier,12,bold,31,True
Red information last everything,310,latin,Courier,12,bold,31,True
Brother,70,latin,Courier,12,italic,7,True
Clearly,70,latin,Courier,12,italic,7,True
Purpose,70,latin,Courier,12,italic,7,True
Score each,97,latin,Courier,12,italic,10,True
Her need stop,124,latin,Courier,12,italic,13,True
Role movie win,133,latin,Courier,12,italic,14,True
Suggest page southern,196,latin,Courier,12,italic,21,True
Scientist nation opportunity,259,latin,Courier,12,italic,28,True
Peace technology officer relate,286,latin,Courier,12,italic,31,True
Red information last everything,286,latin,Courier,12,italic,31,True
Brother,77,latin,Courier,12,bold+italic,7,True
Clearly,77,latin,Courier,12,bold+italic,7,True
Purpose,77,latin,Courier,12,bold+italic,7,True
Score each,107,latin,Courier,12,bold+italic,10,True
Her need stop,137,latin,Courier,12,bold+italic,13,True
Role movie win,147,latin,Courier,12,bold+italic,14,True
Suggest page southern,217,latin,Courier,12,bold+italic,21,True
Scientist nation opportunity,287,latin,Courier,12,bold+italic,28,True
