text,width,alphabet,font_family,font_size,font_face,symbols_count,is_monospaced
Purpose,56,latin,Courier,9,normal,7,True
Out major born guy,144,latin,Courier,9,normal,18,True
Claim well two truth,160,latin,Courier,9,normal,20,True
Medical current hear,160,latin,Courier,9,normal,20,True
Blood personal success,176,latin,Courier,9,normal,22,True
Measure ago current practice,224,latin,Courier,9,normal,28,True
Quality throughout beautiful,224,latin,Courier,9,normal,28,True
Who up sense ready require human,256,latin,Courier,9,normal,32,True
According south recently future choice,304,latin,Courier,9,normal,38,True
Whatever from behavior benefit suggest,304,latin,Courier,9,normal,38,True
Animal direction eye bag do big everyone,320,latin,Courier,9,normal,40,True
Network open according remain arrive attack all,376,latin,Courier,9,normal,47,True
Wall then fire pretty how trip learn enter east,376,latin,Courier,9,normal,47,True
Player half have decide environment view possible,392,latin,Courier,9,normal,49,True
Form method everything magazine much rich think office,432,latin,Courier,9,normal,54,True
No enjoy once today human despite young meeting before,432,latin,Courier,9,normal,54,True
Cell contain leg themselves away space task better present,464,latin,Courier,9,normal,58,True
Range successful simply director allow firm environment decision,512,latin,Courier,9,normal,64,True
Able hospital unit size expect recent room situation product main,520,latin,Courier,9,normal,65,True
Team activity result race Mr environment political born itself law,528,latin,Courier,9,normal,66,True
Purpose,63,latin,Courier,9,bold,7,True
Out major born guy,162,latin,Courier,9,bold,18,True
Claim well two truth,180,latin,Courier,9,bold,20,True
Medical current hear,180,latin,Courier,9,bold,20,True
Blood personal success,198,latin,Courier,9,bold,22,True
Measure ago current practice,252,latin,Courier,9,bold,28,True
Quality throughout beautiful,252,latin,Courier,9,bold,28,True
Who up sense ready require human,288,latin,Courier,9,bold,32,True
According south recently future choice,342,latin,Courier,9,bold,38,True
Whatever from behavior benefit suggest,342,latin,Courier,9,bold,38,True
Animal direction eye bag do big everyone,360,latin,Courier,9,bold,40,True
Network open according remain arrive attack all,423,latin,Courier,9,bold,47,True
Wall then fire pretty how trip learn enter east,423,latin,Courier,9,bold,47,True
Player half have decide environment view possible,441,latin,Courier,9,bold,49,True
Form method everything magazine much rich think office,486,latin,Courier,9,bold,54,True
No enjoy once today human despite young meeting before,486,latin,Courier,9,bold,54,True
Cell contain leg themselves away space task better present,522,latin,Courier,9,bold,58,True
Range successful simply director allow firm environment decision,576,latin,Courier,9,bold,64,True
Able hospital unit size expect recent room situation product main,585,latin,Courier,9,bold,65,True
Team activity result race Mr environment political born itself law,594,latin,Courier,9,bold,66,True
Purpose,62,latin,Courier,9,italic,7,True
Out major born guy,150,latin,Courier,9,italic,18,True
Claim well two truth,166,latin,Courier,9,italic,20,True
Medical current hear,166,latin,Courier,9,italic,20,True
Blood personal success,182,latin,Courier,9,italic,22,True
Measure ago current practice,230,latin,Courier,9,italic,28,True
Quality throughout beautiful,230,latin,Courier,9,italic,28,True
Who up sense ready require human,262,latin,Courier,9,italic,32,True
According south recently future choice,310,latin,Courier,9,italic,38,True
Whatever from behavior benefit suggest,310,latin,Courier,9,italic,38,True
Animal direction eye bag do big everyone,326,latin,Courier,9,italic,40,True
Network open according remain arrive attack all,382,latin,Courier,9,italic,47,True
Wall then fire pretty how trip learn enter east,382,latin,Courier,9,italic,47,True
Player half have decide environment view possible,398,latin,Courier,9,italic,49,True
Form method everything magazine much rich think office,438,latin,Courier,9,italic,54,True
No enjoy once today human despite young meeting before,438,latin,Courier,9,italic,54,True
Cell contain leg themselves away space task better present,470,latin,Courier,9,italic,58,True
Range successful simply director allow firm environment decision,518,latin,Courier,9,italic,64,True
Able hospital unit size expect recent room situation product main,526,latin,Courier,9,italic,65,True
Team activity result race Mr environment political born itself law,534,latin,Courier,9,italic,66,True
Purpose,69,latin,Courier,9,bold+italic,7,True
Out major born guy,168,latin,Courier,9,bold+italic,18,True
Claim well two truth,186,latin,Courier,9,bold+italic,20,True
Medical current hear,186,latin,Courier,9,bold+italic,20,True
Blood personal success,204,latin,Courier,9,bold+italic,22,True
Measure ago current practice,258,latin,Courier,9,bold+italic,28,True
Quality throughout beautiful,258,latin,Courier,9,bold+italic,28,True
Who up sense ready require human,294,latin,Courier,9,bold+italic,32,True
According south recently future choice,348,latin,Courier,9,bold+italic,38,True
Whatever from behavior benefit suggest,348,latin,Courier,9,bold+italic,38,True
Animal direction eye bag do big everyone,366,latin,Courier,9,bold+italic,40,True
Network open according remain arrive attack all,429,latin,Courier,9,bold+italic,47,True
Wall then fire pretty how trip learn enter east,429,latin,Courier,9,bold+italic,47,True
Player half have decide environment view possible,447,latin,Courier,9,bold+italic,49,True
Form method everything magazine much rich think office,492,latin,Courier,9,bold+italic,54,True
No enjoy once today human despite young meeting before,492,latin,Courier,9,bold+italic,54,True
Cell contain leg themselves away space task better present,528,latin,Courier,9,bold+italic,58,True
Range successful simply director allow firm environment decision,582,latin,Courier,9,bold+italic,64,True
Able hospital unit size expect recent room situation product main,591,latin,Courier,9,bold+italic,65,True
Team activity result race Mr environment political born itself law,600,latin,Courier,9,bold+italic,66,True
Purpose,56,latin,Courier,11,normal,7,True
Out major born guy,144,latin,Courier,11,normal,18,True
Claim well two truth,160,latin,Courier,11,normal,20,True
Medical current hear,160,latin,Courier,11,normal,20,True
Blood personal success,176,latin,Courier,11,normal,22,True
Measure ago current practice,224,latin,Courier,11,normal,28,True
Quality throughout beautiful,224,latin,Courier,11,normal,28,True
Who up sense ready require human,256,latin,Courier,11,normal,32,True
According south recently future choice,304,latin,Courier,11,normal,38,True
Whatever from behavior benefit suggest,304,latin,Courier,11,normal,38,True
Animal direction eye bag do big everyone,320,latin,Courier,11,normal,40,True
Network open according remain arrive attack all,376,latin,Courier,11,normal,47,True
Wall then fire pretty how trip learn enter east,376,latin,Courier,11,normal,47,True
Player half have decide environment view possible,392,latin,Courier,11,normal,49,True
Form method everything magazine much rich think office,432,latin,Courier,11,normal,54,True
No enjoy once today human despite young meeting before,432,latin,Courier,11,normal,54,True
Cell contain leg themselves away space task better present,464,latin,Courier,11,normal,58,True
Range successful simply director allow firm environment decision,512,latin,Courier,11,normal,64,True
Able hospital unit size expect recent room situation product main,520,latin,Courier,11,normal,65,True
Team activity result race Mr environment political born itself law,528,latin,Courier,11,normal,66,True
Purpose,63,latin,Courier,11,bold,7,True
Out major born guy,162,latin,Courier,11,bold,18,True
Claim well two truth,180,latin,Courier,11,bold,20,True
Medical current hear,180,latin,Courier,11,bold,20,True
Blood personal success,198,latin,Courier,11,bold,22,True
Measure ago current practice,252,latin,Courier,11,bold,28,True
Quality throughout beautiful,252,latin,Courier,11,bold,28,True
Who up sense ready require human,288,latin,Courier,11,bold,32,True
According south recently future choice,342,latin,Courier,11,bold,38,True
Whatever from behavior benefit suggest,342,latin,Courier,11,bold,38,True
Animal direction eye bag do big everyone,360,latin,Courier,11,bold,40,True
Network open according remain arrive attack all,423,latin,Courier,11,bold,47,True
Wall then fire pretty how trip learn enter east,423,latin,Courier,11,bold,47,True
Player half have decide environment view possible,441,latin,Courier,11,bold,49,True
Form method everything magazine much rich think office,486,latin,Courier,11,bold,54,True
No enjoy once today human despite young meeting before,486,latin,Courier,11,bold,54,True
Cell contain leg themselves away space task better present,522,latin,Courier,11,bold,58,True
Range successful simply director allow firm environment decision,576,latin,Courier,11,bold,64,True
Able hospital unit size expect recent room situation product main,585,latin,Courier,11,bold,65,True
Team activity result race Mr environment political born itself law,594,latin,Courier,11,bold,66,True
Purpose,62,latin,Courier,11,italic,7,True
Out major born guy,150,latin,Courier,11,italic,18,True
Claim well two truth,166,latin,Courier,11,italic,20,True
Medical current hear,166,latin,Courier,11,italic,20,True
Blood personal success,182,latin,Courier,11,italic,22,True
Measure ago current practice,230,latin,Courier,11,italic,28,True
Quality throughout beautiful,230,latin,Courier,11,italic,28,True
Who up sense ready require human,262,latin,Courier,11,italic,32,True
According south recently future choice,310,latin,Courier,11,italic,38,True
Whatever from behavior benefit suggest,310,latin,Courier,11,italic,38,True
Animal direction eye bag do big everyone,326,latin,Courier,11,italic,40,True
Network open according remain arrive attack all,382,latin,Courier,11,italic,47,True
Wall then fire pretty how trip learn enter east,382,latin,Courier,11,italic,47,True
Player half have decide environment view possible,398,latin,Courier,11,italic,49,True
Form method everything magazine much rich think office,438,latin,Courier,11,italic,54,True
No enjoy once today human despite young meeting before,438,latin,Courier,11,italic,54,True
Cell contain leg themselves away space task better present,470,latin,Courier,11,italic,58,True
Range successful simply director allow firm environment decision,518,latin,Courier,11,italic,64,True
Able hospital unit size expect recent room situation product main,526,latin,Courier,11,italic,65,True
Team activity result race Mr environment political born itself law,534,latin,Courier,11,italic,66,True
Purpose,69,latin,Courier,11,bold+italic,7,True
Out major born guy,168,latin,Courier,11,bold+italic,18,True
Claim well two truth,186,latin,Courier,11,bold+italic,20,True
Medical current hear,186,latin,Courier,11,bold+italic,20,True
Blood personal success,204,latin,Courier,11,bold+italic,22,True
Measure ago current practice,258,latin,Courier,11,bold+italic,28,True
Quality throughout beautiful,258,latin,Courier,11,bold+italic,28,True
Who up sense ready require human,294,latin,Courier,11,bold+italic,32,True
According south recently future choice,348,latin,Courier,11,bold+italic,38,True
Whatever from behavior benefit suggest,348,latin,Courier,11,bold+italic,38,True
Animal direction eye bag do big everyone,366,latin,Courier,11,bold+italic,40,True
Network open according remain arrive attack all,429,latin,Courier,11,bold+italic,47,True
Wall then fire pretty how trip learn enter east,429,latin,Courier,11,bold+italic,47,True
Player half have decide environment view possible,447,latin,Courier,11,bold+italic,49,True
Form method everything magazine much rich think office,492,latin,Courier,11,bold+italic,54,True
No enjoy once today human despite young meeting before,492,latin,Courier,11,bold+italic,54,True
Cell contain leg themselves away space task better present,528,latin,Courier,11,bold+italic,58,True
Range successful simply director allow firm environment decision,582,latin,Courier,11,bold+italic,64,True
Able hospital unit size expect recent room situation product main,591,latin,Courier,11,bold+italic,65,True
Team activity result race Mr environment political born itself law,600,latin,Courier,11,bold+italic,66,True
Purpose,63,latin,Courier,12,normal,7,True
Out major born guy,162,latin,Courier,12,normal,18,True
Claim well two truth,180,latin,Courier,12,normal,20,True
Medical current hear,180,latin,Courier,12,normal,20,True
Blood personal success,198,latin,Courier,12,normal,22,True
Measure ago current practice,252,latin,Courier,12,normal,28,True
Quality throughout beautiful,252,latin,Courier,12,normal,28,True
Who up sense ready require human,288,latin,Courier,12,normal,32,True
According south recently future choice,342,latin,Courier,12,normal,38,True
Whatever from behavior benefit suggest,342,latin,Courier,12,normal,38,True
Animal direction eye bag do big everyone,360,latin,Courier,12,normal,40,True
Network open according remain arrive attack all,423,latin,Courier,12,normal,47,True
Wall then fire pretty how trip learn enter east,423,latin,Courier,12,normal,47,True
Player half have decide environment view possible,441,latin,Courier,12,normal,49,True
Form method everything magazine much rich think office,486,latin,Courier,12,normal,54,True
No enjoy once today human despite young meeting before,486,latin,Courier,12,normal,54,True
Cell contain leg themselves away space task better present,522,latin,Courier,12,normal,58,True
Range successful simply director allow firm environment decision,576,latin,Courier,12,normal,64,True
Able hospital unit size expect recent room situation product main,585,latin,Courier,12,normal,65,True
Team activity result race Mr environment political born itself law,594,latin,Courier,12,normal,66,True
Purpose,70,latin,Courier,12,bold,7,True
